step,g_scalar,accum_norm,ema_grad_norm,loss_pos,loss_neg
1,-1.1635,100.0000,10.0000,20.1703,20.1726
2,4.7140,100.0000,13.4531,20.0869,20.0775
3,-1.9217,100.0000,15.7020,20.0026,20.0064
4,-5.0077,100.0000,17.3124,20.0435,20.0535
5,-2.6436,100.0000,18.5161,19.8562,19.8615
6,-1.2379,100.0000,19.4345,19.8959,19.8984
7,7.9794,100.0000,20.1468,19.9000,19.8841
8,1.1292,100.0000,20.7069,19.6682,19.6659
9,7.0028,100.0000,21.1499,19.4373,19.4233
10,25.4040,100.0000,21.4998,19.9862,19.9354
11,25.0187,100.0000,21.7799,20.8925,20.8425
12,18.0769,100.0000,22.0068,20.8073,20.7712
13,6.6776,100.0000,22.1828,20.8179,20.8046
14,-7.3109,100.0000,22.3314,20.6150,20.6296
15,-9.9926,100.0000,22.4447,21.3163,21.3363
16,20.3924,100.0000,22.5380,21.4609,21.4201
17,59.7992,100.0000,22.6147,21.6071,21.4875
18,31.7497,100.0000,22.6773,21.6704,21.6069
19,-81.4085,100.0000,22.7304,22.5187,22.6815
20,-64.3759,100.0000,22.7680,22.4869,22.6157
21,1017.4532,100.0000,22.8013,28.4950,26.4600
22,323.1897,100.0000,22.8236,25.4912,24.8449
23,224.2165,100.0000,22.8412,25.0026,24.5542
24,-130.3921,100.0000,22.8627,24.7845,25.0453
25,3337.7209,100.0000,22.8764,45.9577,39.2822
26,-939.1327,100.0000,22.8906,35.6290,37.5072
27,45433.8516,100.0000,22.9020,142.2654,51.3977
28,-972.8775,100.0000,22.9088,53.3497,55.2954
29,-2496.6851,100.0000,22.9130,66.3841,71.3775
30,11393.0068,100.0000,22.9171,55.6524,32.8664
31,2195.3276,100.0000,22.9179,53.5112,49.1205
32,8983.2080,100.0000,22.9258,122.6373,104.6709
33,-27621.8105,100.0000,22.9268,70.7448,125.9884
34,-1021.0514,100.0000,22.9305,32.6944,34.7365
35,-43854.1016,100.0000,22.9329,140.2541,227.9623
36,744.9646,100.0000,22.9355,163.9113,162.4214
37,-7617.0425,100.0000,22.9346,117.6257,132.8598
38,-7038.4502,100.0000,22.9346,36.8357,50.9126
39,-4277.3057,100.0000,22.9395,29.1229,37.6775
40,17217.2617,100.0000,22.9402,107.8502,73.4157
41,-8426.9941,100.0000,22.9348,76.1908,93.0448
42,-642.2348,100.0000,22.9373,78.4254,79.7099
43,3652.7100,100.0000,22.9362,101.8412,94.5358
44,8762.6230,100.0000,22.9396,77.9286,60.4033
45,-16295.2578,100.0000,22.9372,609.6276,642.2181
46,-931.0837,100.0000,22.9373,94.5106,96.3727
47,-53071.3359,100.0000,22.9366,326.4825,432.6252
48,14819.6943,100.0000,22.9406,213.0351,183.3957
49,21039.6309,100.0000,22.9407,128.7048,86.6255
50,8629.3721,100.0000,22.9426,100.4903,83.2316
51,-36285.0156,100.0000,22.9422,51.4286,123.9986
52,5735.4585,100.0000,22.9415,92.5210,81.0501
53,5155.9849,100.0000,22.9439,53.3003,42.9883
54,31036.0410,100.0000,22.9442,320.6053,258.5333
55,-225.6050,100.0000,22.9412,59.6682,60.1194
56,4323.7515,100.0000,22.9379,38.3080,29.6605
57,47360.1836,100.0000,22.9377,373.2201,278.4997
58,-72144.8828,100.0000,22.9382,264.2230,408.5127
59,896.3966,100.0000,22.9402,95.9782,94.1854
60,-111724.7891,100.0000,22.9420,131.1259,354.5755
61,-15256.5234,100.0000,22.9446,93.2272,123.7403
62,-32071.5020,100.0000,22.9405,207.0673,271.2103
63,-3141.2048,100.0000,22.9408,124.0886,130.3710
64,41520.4297,100.0000,22.9397,331.3680,248.3271
65,-19628.2734,100.0000,22.9443,128.3566,167.6132
66,17480.6895,100.0000,22.9385,189.0900,154.1286
67,897.7051,100.0000,22.9397,27.8843,26.0889
68,16634.1094,100.0000,22.9415,161.6554,128.3872
69,4623.7852,100.0000,22.9404,47.0244,37.7769
70,-23.6702,100.0000,22.9375,39.9170,39.9643
71,46537.8281,100.0000,22.9324,248.5872,155.5116
72,1157.4945,100.0000,22.9327,26.9234,24.6084
73,-33463.8984,100.0000,22.9330,218.2807,285.2085
74,-17222.1602,100.0000,22.9313,109.9721,144.4164
75,5439.5483,100.0000,22.9315,88.5904,77.7113
76,-4909.2676,100.0000,22.9366,44.8277,54.6462
77,57195.7617,100.0000,22.9351,359.7834,245.3919
78,-87145.6953,100.0000,22.9382,182.9096,357.2010
79,-2101.6941,100.0000,22.9377,60.6938,64.8971
80,-2907.8960,100.0000,22.9359,33.7706,39.5864
81,3031.5627,100.0000,22.9360,69.3396,63.2764
82,-8454.4678,100.0000,22.9362,175.5739,192.4829
83,13078.8271,100.0000,22.9396,141.3408,115.1831
84,17307.2812,100.0000,22.9407,166.6673,132.0527
85,-507.1220,100.0000,22.9387,73.1836,74.1978
86,9539.5703,100.0000,22.9384,85.3300,66.2509
87,-209.8093,100.0000,22.9407,31.5040,31.9236
88,-5454.9312,100.0000,22.9362,60.2169,71.1268
89,-26890.4648,100.0000,22.9397,108.6724,162.4533
90,5199.5889,100.0000,22.9442,62.4148,52.0156
91,-5466.0723,100.0000,22.9496,225.3027,236.2349
92,-8381.7822,100.0000,22.9491,64.8014,81.5649
93,6494.0186,100.0000,22.9438,72.5841,59.5960
94,2117.5347,100.0000,22.9438,46.6297,42.3946
95,-50522.4414,100.0000,22.9404,116.8098,217.8547
96,-745.8496,100.0000,22.9405,224.5159,226.0076
97,-1028.6388,100.0000,22.9386,33.8941,35.9514
98,-869.5717,100.0000,22.9421,70.8225,72.5617
99,4095.9263,100.0000,22.9420,50.5844,42.3926
100,397.9340,100.0000,22.9465,225.4068,224.6109
101,36497.0938,100.0000,22.9473,136.9577,63.9635
102,-59.1202,100.0000,22.9449,84.1921,84.3103
103,52477.8203,100.0000,22.9411,295.5802,190.6246
104,-957.2792,100.0000,22.9376,79.2548,81.1693
105,394.9423,100.0000,22.9337,28.5722,27.7823
106,29385.1250,100.0000,22.9348,139.9673,81.1970
107,-37220.0703,100.0000,22.9324,155.5603,230.0005
108,-3367.8149,100.0000,22.9330,40.8217,47.5573
109,-8255.2773,100.0000,22.9338,60.5345,77.0451
110,11081.6572,100.0000,22.9384,270.8878,248.7245
111,-28482.2227,100.0000,22.9436,63.5345,120.4990
112,-26940.7734,100.0000,22.9410,136.7821,190.6637
113,-66101.6875,100.0000,22.9407,183.7298,315.9331
114,507.2269,100.0000,22.9408,29.5369,28.5225
115,-6987.5718,100.0000,22.9412,90.4463,104.4214
116,16124.3096,100.0000,22.9414,87.2068,54.9581
117,-4273.5498,100.0000,22.9417,63.1618,71.7089
118,97349.7500,100.0000,22.9385,369.0093,174.3098
119,3749.3801,100.0000,22.9377,71.3341,63.8354
120,-36405.7070,100.0000,22.9393,232.6604,305.4718
121,34362.1523,100.0000,22.9390,213.5504,144.8261
122,-24903.1289,100.0000,22.9449,107.5753,157.3816
123,26153.5117,100.0000,22.9434,195.0040,142.6970
124,-7202.8867,100.0000,22.9445,49.6285,64.0343
125,10780.8115,100.0000,22.9452,136.6014,115.0398
126,10852.4854,100.0000,22.9467,81.8743,60.1693
127,594.8105,100.0000,22.9490,79.9211,78.7315
128,-38999.1562,100.0000,22.9470,119.8895,197.8878
129,8679.5859,100.0000,22.9471,57.4231,40.0639
130,-506.7520,100.0000,22.9462,52.6427,53.6562
131,131049.9688,100.0000,22.9442,653.0662,390.9662
132,2390.2893,100.0000,22.9446,81.1486,76.3680
133,-6762.5273,100.0000,22.9445,116.3027,129.8277
134,-10000.5459,100.0000,22.9456,50.0735,70.0746
135,5277.8550,100.0000,22.9469,133.1462,122.5905
136,-9817.0127,100.0000,22.9483,80.5341,100.1682
137,-2312.3645,100.0000,22.9495,33.8794,38.5042
138,-20441.7871,100.0000,22.9493,326.5434,367.4269
139,-33365.1641,100.0000,22.9450,115.1743,181.9046
140,61330.3086,100.0000,22.9451,218.8207,96.1601
141,6100.8491,100.0000,22.9433,94.2858,82.0841
142,-4211.7310,100.0000,22.9418,54.7382,63.1617
